strain	data source	year	month	region	location	continent	clade	group	MLVA	date	23SRna	Macrolide Susceptibility	time range	completeness	ST
195_17M928	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
198_21R761	self	2021	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2021	A2063G	R	2020-2024	contigs	3
199_17M878	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
200_21R636	self	2021	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2021	A2063G	R	2020-2024	contigs	3
202_17M955	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
2023004	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023005	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023008	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	complete	3
2023010	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	complete	3
2023012	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023014	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	complete	3
2023015	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	complete	3
2023016	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023017	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023018	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023019	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023020	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023021	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023024	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023026	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023029	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023037	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023039	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023042	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	complete	3
2023044	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023045	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023046	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023047	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	-
2023050	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023059	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023062	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023063	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023071	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023075	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023079	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023081	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023082	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023083	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023088	self	2023	11	China	China-Shanxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023089	self	2023	11	China	China-Shanxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023091	self	2023	11	China	China-Shanxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023092	self	2023	11	China	China-Shanxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023102	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023114	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023115	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023120	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023124	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023126	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023137	self	2023	11	China	China-Shanxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023139	self	2023	11	China	China-Shanxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023144	self	2023	11	China	China-Shanxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023145	self	2023	11	China	China-Shanxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023150	self	2023	11	China	China-Shanxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023167	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023169	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	-
2023175	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023176	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023178	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023183	self	2023	11	China	China-Shanghai	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023186	self	2023	11	China	China-Shanghai	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023187	self	2023	11	China	China-Shanghai	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023190	self	2023	11	China	China-Guangdong	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	-
2023196	self	2023	11	China	China-Guangdong	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023207	self	2023	11	China	China-Gansu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023214	self	2023	11	China	China-Gansu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	-
2023216	self	2023	11	China	China-Gansu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023222	self	2023	11	China	China-Gansu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023227	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023229	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023233	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023236	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023244	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023248	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023257	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023275	self	2023	11	China	China-Guangxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	-
2023286	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023291	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023296	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	!-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023312	self	2023	11	China	China-Guangxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	-
2023316	self	2023	11	China	China-Guangxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023318	self	2023	11	China	China-Guangxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023322	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	-
2023329	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	-
2023331	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023339	self	2023	11	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023348	self	2023	11	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023353	self	2023	11	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023356	self	2023	11	China	China-Guangxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023357	self	2023	11	China	China-Guangxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
2023373	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
2023378	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
203_18M2257	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
205_18M469	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
207_18M1651	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
208_21R768	self	2021	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2021	A2063G	R	2020-2024	contigs	3
209_21R605	self	2021	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2021	A2063G	R	2020-2024	contigs	3
211_19R718	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
212_21R611	self	2021	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2021	A2063G	R	2020-2024	contigs	3
213_17R940	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
214_18M1233	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
215_17R785	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
216_18M1480	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
217_21R791	self	2021	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2021	A2063G	R	2020-2024	contigs	3
218_21M435	self	2021	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2021	A2063G	R	2020-2024	contigs	3
220_13199	self	2013	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2013	A2063G	R	2010-2015	contigs	3
222_16R063	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
224_13215	self	2013	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2013	A2063G	R	2010-2015	contigs	3
226_13M206	self	2013	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2013	A2063G	R	2010-2015	contigs	3
227_13175	self	2013	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2013	A2063G	R	2010-2015	contigs	3
228_13311	self	2013	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2013	A2063G	R	2010-2015	contigs	3
229_13212	self	2013	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2013	A2063G	R	2010-2015	contigs	3
23007	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
230_16M191	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
23053	self	2023	11	China	China-Shanghai	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23064	self	2023	11	China	China-Hunan	Asia	T1-2-EC1	T1-2	3-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23094	self	2023	11	China	China-Shanghai	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23098	self	2023	11	China	China-Shanghai	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23112	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
231_16M188	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
23116	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23119	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23129	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23136	self	2023	11	China	China-Shanxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23146	self	2023	11	China	China-Shanxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23152	self	2023	11	China	China-Shanxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23155	self	2023	11	China	China-Shanxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23157	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23159	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23160	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23162	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23164	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23166	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23168	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	-
23171	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23181	self	2023	11	China	China-Shanghai	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23184	self	2023	11	China	China-Shanghai	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23189549	self	2023	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.5	A2063G	R	2020-2024	contigs	3
23198	self	2023	11	China	China-Guangdong	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23204	self	2023	11	China	China-Gansu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23212	self	2023	11	China	China-Gansu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
232_13220	self	2013	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2013	A2063G	R	2010-2015	contigs	3
23217	self	2023	11	China	China-Gansu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23220	self	2023	11	China	China-Gansu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23221	self	2023	11	China	China-Gansu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23225	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23230	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23232	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23238	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23240	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23241	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23247	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23250	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23251	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23253	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23254	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23260	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23263	self	2023	11	China	China-Guangxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23270	self	2023	11	China	China-Guangxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23274	self	2023	11	China	China-Guangxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23283	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23292	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23303	self	2023	11	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23307	self	2023	11	China	China-Guangxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	-
233_13172	self	2013	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2013	A2063G	R	2010-2015	contigs	3
23314	self	2023	11	China	China-Guangxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23315	self	2023	11	China	China-Guangxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	-
23327	self	2023	11	China	China-Liaoning	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23347	self	2023	11	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23351	self	2023	11	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23362	self	2023	12	China	China-Guangxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23365	self	2023	12	China	China-Guangxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	-
23371	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23375	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23377	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23379	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23407	self	2023	12	China	China-Guangxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
234_13214	self	2013	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2013	A2063G	R	2010-2015	contigs	3
23414165	self	2023	11	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23415	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23417	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23429	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23434	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23437	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23439	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23443	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23455	self	2023	12	China	China-Guangxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	-
23456	self	2023	12	China	China-Guangxi	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	-
23461	self	2023	12	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23476	self	2023	12	China	China-Jiangsu	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23478	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23492778	self	2023	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.5	A2063G	R	2020-2024	contigs	3
23492966	self	2023	11	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23493050	self	2023	11	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	-
23493423	self	2023	11	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23494	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23497	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	-
235_16R057	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
23527	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
